,s,e,t
377,"jacobson,rj","powell,j",1984
378,"jacobson,rj","fialkow,pj",1984
379,"straus,se","takiff,he",1984
380,"straus,se","seidlin,m",1984
381,"straus,se","bachrach,s",1984
382,"straus,se","lininger,l",1984
383,"straus,se","digiovanna,jj",1984
384,"straus,se","western,ka",1984
385,"straus,se","smith,ha",1984
386,"straus,se","lehrman,sn",1984
387,"straus,se","creaghkirk,t",1984
388,"straus,se","alling,dw",1984
389,"peltola,h","kayhty,h",1984
390,"peltola,h","virtanen,m",1984
391,"peltola,h","makela,ph",1984
392,"kowey,pr","eisenberg,r",1984
393,"kowey,pr","engel,tr",1984
394,"lefkowitz,rj","caron,mg",1984
395,"lefkowitz,rj","stiles,gl",1984
396,"park,cm","nagel,rl",1984
397,"gleich,gj","schroeter,al",1984
398,"gleich,gj","marcoux,jp",1984
399,"gleich,gj","sachs,mi",1984
400,"gleich,gj","oconnell,ej",1984
401,"gleich,gj","kohler,pf",1984
402,"greenblatt,dj","abernethy,dr",1984
403,"greenblatt,dj","morse,ds",1984
404,"greenblatt,dj","harmatz,js",1984
405,"greenblatt,dj","shader,ri",1984
406,"paterson,cr","mcallion,s",1984
407,"paterson,cr","stellman,jl",1984
408,"jannetta,pj","moller,mb",1984
409,"jannetta,pj","moller,ar",1984
410,"canellos,gp","mark,ej",1984
411,"canellos,gp","ferrucci,jt",1984
412,"canellos,gp","mark,ej",1984
413,"canellos,gp","carey,rw",1984
414,"canellos,gp","kuter,dj",1984
415,"han,t","ozer,h",1984
416,"han,t","sadamori,n",1984
417,"han,t","emrich,l",1984
418,"han,t","gomez,ga",1984
419,"han,t","henderson,es",1984
420,"han,t","bloom,ml",1984
421,"han,t","sandberg,aa",1984
422,"nathan,dm","singer,de",1984
423,"nathan,dm","hurxthal,k",1984
424,"nathan,dm","goodson,jd",1984
425,"dzau,vj","packer,m",1984
426,"dzau,vj","lilly,ls",1984
427,"dzau,vj","swartz,sl",1984
428,"dzau,vj","hollenberg,nk",1984
429,"dzau,vj","williams,gh",1984
430,"andersen,t","backer,og",1984
431,"andersen,t","stokholm,kh",1984
432,"andersen,t","quaade,f",1984
433,"teutsch,sm","herman,wh",1984
434,"teutsch,sm","dwyer,dm",1984
435,"teutsch,sm","lane,jm",1984
436,"key,l","carnes,d",1984
437,"key,l","cole,s",1984
438,"key,l","holtrop,m",1984
439,"key,l","barshavit,z",1984
440,"key,l","shapiro,f",1984
441,"key,l","arceci,r",1984
442,"key,l","steinberg,j",1984
443,"key,l","gundberg,c",1984
444,"key,l","kahn,a",1984
445,"key,l","teitelbaum,s",1984
446,"key,l","anast,c",1984
447,"goldstein,rs","ramcharan,v",1984
448,"goldstein,rs","bowes,g",1984
