,H
165,0.16866093149667025
166,0.16866093149667025
167,-0.0
168,-0.0
169,-0.0
170,-0.0
171,0.28639695711595625
172,-0.0
173,-0.0
174,-0.0
175,-0.0
176,-0.0
177,-0.0
178,-0.0
179,-0.0
180,-0.0
181,-0.0
182,-0.0
183,-0.0
184,-0.0
185,-0.0
186,-0.0
187,-0.0
188,-0.0
189,-0.0
190,0.38431154412649704
191,0.28639695711595625
192,0.16866093149667025
193,0.16866093149667025
194,-0.0
195,-0.0
196,-0.0
197,0.6098403047164004
198,-0.0
199,0.28639695711595625
200,0.16866093149667025
201,0.16866093149667025
202,0.28639695711595625
203,0.16866093149667025
204,-0.0
205,0.28639695711595625
206,0.28639695711595625
207,0.28639695711595625
208,-0.0
209,-0.0
210,0.16866093149667025
211,-0.0
212,0.16866093149667025
213,0.4689955935892812
214,0.4689955935892812
215,0.16866093149667025
216,0.38431154412649704
217,0.38431154412649704
218,0.28639695711595625
219,-0.0
220,-0.0
221,-0.0
222,-0.0
223,0.16866093149667025
224,-0.0
225,-0.0
226,-0.0
227,-0.0
228,0.28639695711595625
229,0.16866093149667025
230,-0.0
231,0.38431154412649704
232,0.5435644431995964
233,0.16866093149667025
234,0.28639695711595625
235,-0.0
236,-0.0
237,0.4689955935892812
238,0.6098403047164004
239,0.16866093149667025
240,0.38431154412649704
241,0.7219280948873623
242,0.6098403047164004
243,-0.0
244,0.16866093149667025
245,-0.0
246,-0.0
247,0.16866093149667025
248,0.16866093149667025
249,-0.0
250,-0.0
251,0.38431154412649704
252,0.16866093149667025
253,0.16866093149667025
254,0.28639695711595625
255,-0.0
256,0.38431154412649704
257,0.4689955935892812
258,-0.0
259,0.16866093149667025
260,-0.0
261,-0.0
262,-0.0
263,-0.0
264,-0.0
265,0.38431154412649704
266,-0.0
267,-0.0
268,-0.0
269,-0.0
270,-0.0
271,-0.0
272,-0.0
273,-0.0
274,-0.0
275,-0.0
276,0.16866093149667025
277,0.16866093149667025
278,-0.0
279,-0.0
280,-0.0
281,-0.0
282,-0.0
283,0.5435644431995964
284,0.16866093149667025
285,0.16866093149667025
286,-0.0
287,-0.0
288,-0.0
289,-0.0
290,0.16866093149667025
291,-0.0
292,-0.0
293,-0.0
294,0.16866093149667025
295,-0.0
296,-0.0
297,0.16866093149667025
298,-0.0
299,0.16866093149667025
300,-0.0
301,-0.0
302,0.16866093149667025
303,0.16866093149667025
304,0.16866093149667025
305,-0.0
306,-0.0
307,-0.0
308,-0.0
309,0.4689955935892812
310,-0.0
311,-0.0
312,-0.0
313,0.16866093149667025
314,0.38431154412649704
315,-0.0
316,0.16866093149667025
317,0.38431154412649704
318,0.28639695711595625
319,0.38431154412649704
320,0.38431154412649704
321,-0.0
322,-0.0
323,-0.0
324,-0.0
325,-0.0
326,-0.0
327,-0.0
328,-0.0
329,0.38431154412649704
330,0.16866093149667025
331,-0.0
332,-0.0
333,-0.0
334,0.28639695711595625
335,0.28639695711595625
336,-0.0
337,0.16866093149667025
338,-0.0
339,-0.0
340,-0.0
341,-0.0
342,-0.0
343,-0.0
344,-0.0
345,-0.0
346,-0.0
347,-0.0
348,0.28639695711595625
349,0.28639695711595625
350,0.16866093149667025
351,0.16866093149667025
352,0.28639695711595625
353,0.38431154412649704
354,-0.0
355,0.38431154412649704
356,-0.0
357,-0.0
358,-0.0
359,-0.0
360,-0.0
361,0.16866093149667025
362,-0.0
363,0.16866093149667025
364,0.16866093149667025
365,-0.0
366,-0.0
367,-0.0
368,-0.0
369,-0.0
370,-0.0
371,-0.0
372,-0.0
373,0.16866093149667025
374,-0.0
375,-0.0
376,-0.0
377,-0.0
378,-0.0
379,-0.0
380,-0.0
381,0.38431154412649704
382,-0.0
383,-0.0
384,-0.0
385,-0.0
386,-0.0
387,-0.0
388,-0.0
389,0.28639695711595625
390,-0.0
391,-0.0
392,-0.0
393,-0.0
394,0.28639695711595625
395,0.16866093149667025
396,0.28639695711595625
397,0.38431154412649704
398,0.16866093149667025
399,0.38431154412649704
400,-0.0
401,0.16866093149667025
402,-0.0
403,0.4689955935892812
404,-0.0
405,-0.0
406,-0.0
407,0.16866093149667025
408,0.28639695711595625
409,0.28639695711595625
410,0.16866093149667025
411,0.16866093149667025
412,-0.0
413,-0.0
414,0.16866093149667025
415,0.16866093149667025
416,0.16866093149667025
417,0.16866093149667025
418,0.28639695711595625
419,-0.0
420,0.16866093149667025
421,-0.0
422,0.28639695711595625
423,-0.0
424,0.28639695711595625
425,0.16866093149667025
426,-0.0
427,-0.0
428,-0.0
429,-0.0
430,-0.0
431,-0.0
432,-0.0
433,-0.0
434,-0.0
435,-0.0
436,0.28639695711595625
437,-0.0
438,0.16866093149667025
439,-0.0
440,-0.0
441,-0.0
442,-0.0
443,-0.0
444,-0.0
445,-0.0
446,-0.0
447,-0.0
448,-0.0
449,-0.0
450,-0.0
451,-0.0
452,-0.0
453,-0.0
454,0.16866093149667025
455,-0.0
456,-0.0
457,0.4689955935892812
458,-0.0
459,-0.0
460,-0.0
461,-0.0
462,-0.0
463,0.16866093149667025
464,-0.0
465,-0.0
466,-0.0
467,-0.0
468,0.16866093149667025
469,-0.0
470,-0.0
471,-0.0
472,-0.0
473,-0.0
